               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11097,            0.037959,             0.02764,            0.043031,               0.125,            0.032284,           0.0050275,            0.091338,            0.030763,            0.022953,             0.00049,             0.00049,             0.09559
                   1,            0.087901,            0.041562,            0.023792,             0.21985,             0.28289,             0.23927,            0.056697,            0.062454,             0.03337,            0.015954,          0.00098912,          0.00098912,            0.091089
                   2,            0.074722,            0.039999,             0.01913,             0.93024,             0.44737,             0.50091,             0.19577,            0.052274,            0.030531,            0.010695,           0.0014847,           0.0014847,            0.086585
                   3,            0.062987,            0.039589,            0.016031,             0.91713,             0.43421,             0.57404,             0.27226,            0.049333,             0.02659,           0.0072087,           0.0019741,           0.0019741,            0.082074
                   4,            0.058369,            0.036705,            0.010923,             0.52847,              0.7231,             0.72783,             0.30569,            0.050165,            0.021883,           0.0039507,           0.0024548,           0.0024548,            0.077555
                   5,            0.057353,            0.031549,           0.0079028,             0.76139,             0.75691,               0.845,             0.32766,            0.043566,            0.020105,           0.0022706,           0.0029241,           0.0029241,            0.073024
                   6,            0.056577,            0.027876,           0.0053045,             0.97857,             0.44074,             0.57908,                0.39,            0.057259,            0.016141,           0.0018121,           0.0033797,           0.0033797,             0.06848
                   7,            0.059157,            0.024867,           0.0047775,             0.30568,             0.92105,             0.64027,               0.345,            0.049721,            0.015895,           0.0018455,           0.0038191,           0.0038191,            0.063919
                   8,            0.060113,            0.024053,           0.0041733,             0.29868,             0.88816,              0.5942,             0.26316,            0.060249,            0.014069,           0.0014968,           0.0042401,           0.0042401,             0.05934
                   9,            0.062447,            0.022392,           0.0041052,             0.52951,             0.77667,              0.7432,              0.2325,            0.052281,            0.015782,              0.0029,           0.0046404,           0.0046404,             0.05474
                  10,            0.059168,             0.02149,           0.0037136,             0.42987,             0.84868,             0.65357,             0.28863,            0.052441,            0.014543,           0.0018121,           0.0050182,           0.0050182,            0.050118
                  11,            0.053393,            0.020805,           0.0036723,             0.57452,             0.84868,             0.67285,             0.33836,            0.055135,            0.013321,           0.0020754,           0.0053714,           0.0053714,            0.045471
                  12,            0.058622,             0.02089,           0.0038171,             0.74425,             0.90132,             0.86273,             0.39787,            0.050184,            0.013138,           0.0022771,           0.0056985,           0.0056985,            0.040798
                  13,            0.057513,            0.018636,            0.003253,             0.70495,             0.92684,             0.93004,             0.39607,            0.045186,            0.012728,            0.001996,           0.0059977,           0.0059977,            0.036098
                  14,             0.05388,            0.020763,           0.0032687,             0.64798,             0.93327,             0.95056,             0.56819,            0.043629,            0.012841,           0.0027088,           0.0062679,           0.0062679,            0.031368
                  15,            0.050407,             0.01815,            0.002832,             0.58761,             0.88158,             0.85151,             0.35364,             0.04745,             0.01183,           0.0016648,           0.0065079,           0.0065079,            0.026608
                  16,            0.057309,            0.019222,           0.0028364,             0.86164,             0.73257,             0.93572,             0.50483,            0.042531,            0.012399,           0.0022017,           0.0067166,           0.0067166,            0.021817
                  17,            0.052907,            0.021067,           0.0033455,             0.77859,             0.90749,             0.85818,             0.52523,            0.042863,            0.011938,           0.0014885,           0.0068934,           0.0068934,            0.016993
                  18,            0.049179,            0.019519,           0.0026773,             0.70085,             0.82237,             0.78976,             0.22603,             0.04749,            0.011224,           0.0017154,           0.0070378,           0.0070378,            0.012138
                  19,            0.048559,            0.019294,           0.0030657,              0.8433,             0.95395,              0.9839,             0.55959,             0.03523,            0.011206,           0.0019385,           0.0071494,           0.0071494,           0.0072494
                  20,            0.051205,            0.018071,           0.0027865,             0.65022,             0.83515,             0.85916,             0.41545,            0.046063,            0.011304,            0.001634,           0.0068906,           0.0068906,           0.0068906
                  21,            0.049855,            0.017077,           0.0024599,             0.95935,             0.98687,             0.99066,             0.52987,            0.033013,            0.011949,           0.0021159,           0.0068906,           0.0068906,           0.0068906
                  22,            0.042006,            0.018296,           0.0027589,              0.9663,             0.98026,             0.97899,             0.51713,            0.033904,            0.011198,           0.0015496,           0.0066191,           0.0066191,           0.0066191
                  23,            0.043142,             0.01688,           0.0020271,              0.9192,             0.88145,             0.90317,             0.47566,            0.041173,            0.010294,           0.0013092,           0.0063432,           0.0063432,           0.0063432
                  24,            0.040103,            0.016131,           0.0020954,             0.98417,             0.96691,             0.98317,             0.53507,            0.036165,           0.0099397,            0.001389,            0.006064,            0.006064,            0.006064
                  25,            0.035519,               0.016,           0.0021842,             0.92865,             0.96711,             0.97278,             0.69654,            0.026962,           0.0098281,           0.0013931,           0.0057826,           0.0057826,           0.0057826
                  26,            0.035453,            0.016124,            0.001998,             0.76638,             0.98026,             0.98865,             0.65929,            0.034248,            0.010164,           0.0013481,              0.0055,              0.0055,              0.0055
                  27,            0.036395,            0.015804,           0.0019503,             0.92089,             0.93538,              0.9617,             0.56065,            0.031225,             0.01001,            0.001289,           0.0052174,           0.0052174,           0.0052174
                  28,            0.036137,            0.015167,           0.0018475,             0.98523,             0.96053,             0.98217,             0.64848,             0.02944,           0.0097384,           0.0012265,            0.004936,            0.004936,            0.004936
                  29,            0.032014,             0.01559,           0.0016062,             0.98672,             0.97644,             0.98932,             0.66917,            0.024547,           0.0094695,            0.001093,           0.0046568,           0.0046568,           0.0046568
                  30,            0.030188,            0.015374,            0.001479,             0.99232,             0.97368,              0.9846,             0.65852,            0.028598,           0.0096557,           0.0010035,           0.0043809,           0.0043809,           0.0043809
                  31,            0.031652,            0.015063,           0.0012139,             0.99028,             0.98684,             0.98963,             0.66763,            0.027117,           0.0096031,           0.0008952,           0.0041094,           0.0041094,           0.0041094
                  32,            0.029714,            0.013934,           0.0011642,             0.99187,             0.98023,             0.98925,             0.69928,            0.027125,           0.0091007,          0.00076778,           0.0038434,           0.0038434,           0.0038434
                  33,            0.027138,            0.013173,           0.0010466,             0.99152,             0.98023,             0.98865,             0.72764,            0.023677,           0.0093131,          0.00070131,            0.003584,            0.003584,            0.003584
                  34,            0.028526,            0.015057,           0.0011824,             0.99134,             0.98025,             0.98599,             0.75995,            0.021285,           0.0089881,          0.00062295,           0.0033321,           0.0033321,           0.0033321
                  35,            0.027292,            0.014257,           0.0010722,             0.99812,             0.98682,             0.99439,             0.77228,            0.021924,            0.008997,          0.00061168,           0.0030888,           0.0030888,           0.0030888
                  36,            0.027407,            0.014505,           0.0010136,             0.99898,             0.98026,             0.99427,             0.78811,            0.021309,           0.0088793,          0.00063038,            0.002855,            0.002855,            0.002855
                  37,            0.024167,            0.013714,           0.0011296,             0.98331,             0.98682,             0.98591,             0.76626,            0.020987,           0.0088874,          0.00058232,           0.0026316,           0.0026316,           0.0026316
                  38,            0.022028,            0.013637,           0.0011902,             0.98373,             0.98683,             0.98644,             0.79818,            0.019318,           0.0086595,          0.00053232,           0.0024195,           0.0024195,           0.0024195
                  39,            0.022652,            0.013076,          0.00084592,             0.99198,             0.98026,             0.98817,             0.78473,            0.020204,           0.0086719,          0.00048804,           0.0022196,           0.0022196,           0.0022196
                  40,             0.02172,            0.012022,          0.00087186,             0.99215,             0.98026,             0.98712,             0.80297,             0.02033,           0.0084384,          0.00044122,           0.0020327,           0.0020327,           0.0020327
                  41,            0.022084,             0.01234,          0.00075403,             0.99195,             0.98026,             0.98664,             0.77673,            0.021117,           0.0086597,          0.00042399,           0.0018594,           0.0018594,           0.0018594
                  42,            0.022185,            0.013335,          0.00062956,             0.99169,             0.98026,              0.9865,             0.80612,            0.018802,           0.0084119,          0.00040656,           0.0017005,           0.0017005,           0.0017005
                  43,            0.021039,            0.011832,          0.00056261,             0.99169,             0.98026,             0.98749,             0.80083,            0.019919,           0.0083553,          0.00039296,           0.0015566,           0.0015566,           0.0015566
                  44,            0.020468,            0.011799,           0.0005787,             0.99034,             0.98684,             0.98919,             0.82234,            0.018737,           0.0082655,          0.00037252,           0.0014283,           0.0014283,           0.0014283
                  45,            0.020579,            0.012485,          0.00068188,             0.98943,             0.99339,             0.98918,              0.8106,            0.019884,           0.0084038,          0.00036292,            0.001316,            0.001316,            0.001316
                  46,            0.019533,            0.011855,          0.00052841,             0.98982,             0.99342,             0.98892,             0.80113,             0.01898,           0.0083817,          0.00035088,           0.0012202,           0.0012202,           0.0012202
                  47,            0.019556,            0.012688,          0.00052917,             0.99005,              0.9934,             0.98876,             0.81076,             0.01904,           0.0081583,           0.0003299,           0.0011414,           0.0011414,           0.0011414
                  48,            0.019048,            0.012756,          0.00047946,             0.99016,             0.99342,             0.98949,             0.81863,            0.018549,           0.0081409,          0.00031598,           0.0010797,           0.0010797,           0.0010797
                  49,            0.018612,            0.012325,          0.00042885,             0.99019,             0.99342,              0.9895,             0.82004,            0.019039,             0.00822,          0.00030515,           0.0010355,           0.0010355,           0.0010355
